Entity	Intent	Entity 2	Response
Ash Gourd (Petha)	"	Plant Protection	"	CONTROL OF FRUIT FLY ATTACK IN ASH GOURD	SPRAY MALATHION 50 EC @ 2 ML PER LITRE OF WATER
Ash Gourd (Petha)	Nutrient Management	APPLICATION OF MICRONUTRIENT PRODUCT IN ASH GOURD CULTIVATION	APPLY TRACEL @ 2 GRAM PER LITRE OF WATER 20-25 DAYS AFTER PLANTING
Banana	"	Plant Protection	"	PSUEDOSTEM BORER OF BANANA	SPRAY MALATHION 50 EC @ 2 ML/ LITRE WATER
Betel Vine	"	Plant Protection	"	CONTROL MEASURES LEAF SPOT	SPRAY BORDEAUX MIXTURE AT 15 DAUS INTERVAL
Bhindi(Okra/Ladysfinger)	"	Plant Protection	"	POWDERY MILDEW	SPRAY BAVISTIN @2 GM/L WATER
Bitter Gourd	"	Plant Protection	"	CONTROL OF BACTERIAL WILT IN BITTER GOURD	SPRAY STREPTOMYCIN @ 1 GM PER 10 LITER OF WATER
Bitter Gourd	"	Plant Protection	"	LEAF CURL DIESEASE	SPRAY ROGOR @ 2 ML/ LITRE WATER
Bitter Gourd	"	Plant Protection	"	FUNGAL WILT	SPRAY BAVISTIN OR CAPTAN @ 2 GRAM / LITRE WATER
Bitter Gourd	Cultural Practices	TOP DRESSING IN BITTER GOURD	APPLY UREA @ 4 KG PER BIGHA AS TOP DRESSING AFTER 30 DAS
Bitter Gourd	Cultural Practices	MICRO NUTRIENT REQUIRMENT IN BITTER GOURD	SPRAY TRACEL 2 @ 2 GM PER LITER OF WATER
Bottle Gourd	"	Plant Protection	"	MICRO NUTRIENT DEFICIENCY	SPRAY TRACEL-2 @ 2 GRAM / LITRE WATER
Brinjal	"	Plant Protection	"	FUNGAL WILT OF BRINJAL	SPRAY BAVISTIN @ 1 GRAM / LITRE WATER
Brinjal	"	Plant Protection	"	CONTROL OF SHOOT BORER IN BRINJAL	SPRAY ATABRON @ 3 ML PER LITER OF WATER FOLLOWED BY SPRAY OF DISECT @ 2 ML PER LITER OF WATER
Brinjal	"	Plant Protection	"	CONTROL OF FUNGAL DISEASE IN BRINJAL	SPRAY CAPTAF @ 2 GM PER LITER OF WATER
Brinjal	"	Plant Protection	"	CONTROL MEASURES OF FRUIT BORER PROBLEM	APPLY FURADON @ 2 GM/PLANT
Brinjal	"	Plant Protection	"	LEAF CURLING DISEASE IN BRINJAL .	APPLY ROGOR 35 EC OR TUFGORE @ 2 ML / LITRE OF WATER .
Cabbage	Seeds and Planting Material	VARITY OF CABBAGE	SOWING SEEDS OF GOLDEN ACRE PRIDE OF INDIA PUSA MUKTA ETC
Chillies	"	Plant Protection	"	CONTROL OF LEAF CURL IN CHILLI	SPRAY LANCERGOLD @ 3 GM PER LITER OF WATER
Chillies	"	Plant Protection	"	CONTROL OF STEM ROT IN CHILLI	SPRAY BLITOX 50 @ 2 GM PER LITER OF WATER
Chillies	"	Plant Protection	"	CONTROL OF LEAF MINER IN CHILLI	SPRAY TAFGOR @ 2 ML PER LITRE OF WATER
Chillies	"	Plant Protection	"	CONTROL MEASURE TO CONTROL ANTHRACNOSE DISEASE IN CHILLI	APPLY CAPTAF @ 2 GRAM/LITER OF WATER.
Coconut	"	Plant Protection	"	CONTROL OF RHINOCEROS BEETLE ATTACK IN COCONUT	APPLY MALATHION 5% DUST  MIXED WITH EQUAL QUANTITY OF SAND TO THE AXIL OF LEAF OF THE TREE
Coconut	"	Plant Protection	"	FERTILZER DOSE	APPLY UREA=1.5 KG SSP=2.5 KG MOP=1.75 KG
Cucumber	"	Plant Protection	"	CONTROL MEASURES OF FUNGAL WILT	SPRAY ROGOR @ 2 ML/L WATER
Ginger	Nutrient Management	ANY CROP BOOSTER NAME WHICH WHEN SPRAYED CAN ENHANCE MORE PRODUCTION	'GREEN HARVEST' SOLUTION @ 25 GRAM IN 10 LITRES OF WATER HAS BEEN ADVISED TO SPRAY DURING FLOWERING STAGE.
Mango	"	Plant Protection	"	PULP WEEVIL OF MANGO	SPRAY MALATHION 50 EC @ 2 MILILITER/LITER OF WATER
Mango	"	Plant Protection	"	CONTROL OF FRUIT BORER IN MANGO	SPRAY MALATHION 50 EC @ 2 ML PER LITER OF WATER DURING FLOWERING STAGE
Mango	Cultural Practices	PLANTING OF MANGO SAMPLING	USE DRY COWDUNG ONLY WHILE PLANTING OF MANGO PLANT
Mango	Cultural Practices	WANT TO KNOW ABOUT SPACING IN MANGO TREE	MAINTAIN SPACING OF 25-30 FT FROM PLANT TO PLANT
Marigold	"	Plant Protection	"	CONTROL OF APHIDS IN MARIGOLD	SPRAY ROGOR @ 2 ML PER LITER OF WATER
Marigold	Cultural Practices	MICRO NUTRIENT REQUIRMENT IN MARIGOLD	SPRAY VIPUL @ 2 ML PER LITER OF WATER
Napier Grass	"Cultural Practices	"	TOP DRESSING IN NAPIER	APPLY UREA 6 KG PER BIGHA AFTER EACH CUTTING AS TOP DRESSING
Others	Registration	WANTED TO REGISTER HIS NAME IN KCC	REGISTERED. YOUR REGISTRATION NO IS TR15031310
Others	Weather	WEATHER REPORT IN SOUTH TRIPURA DISTRICT OF TRIPURA STATE FROM 1ST AUGUST TO 5TH AUGUST 2015	Link to an API which shows the result of weather forecast of that particular area
Paddy (Dhan)	"	Plant Protection	"	RICE STEM BORER	SPRAY TRICEL-20  OR CLASSIC-20 @ 2 ML / LITRE WATER
Paddy (Dhan)	"	Plant Protection	"	PROBLEM OF RICE STEM BORER 	APPLY CHLOROPYRIPHOSE(CLASSIC 20) @ 2 ML / LITRE OF WATER.
Paddy (Dhan)	"	Plant Protection	"	CONTROL OF LEAF CUTTER IN PADDY	SPRAY TRICEL 20 @ 2 ML PER LITER OF WATER
Paddy (Dhan)	"	Plant Protection	"	PROBLEM OF BLAST IN SALI RICE.	APPLY BAVISTIN @ 1 GM / LITRE OF WATER.
Paddy (Dhan)	"	Plant Protection	"	CONTROL OF CASE WORM IN PADDY	SPRAY CHLORPYRIPHOS @ 2 ML PER LITER OF WATER
