intent,entity1,entity2,entity3,answer
"	plant_protection	",Cucumber,FUNGAL WILT,,ADVISED TO SPRAY TRICEL-20  OR CLASSIC-20 @ 2 ML / LITRE WATER
"	plant_protection	",Paddy,PROBLEM RICE STEM BORER,,ADVISED HIM TO APPLY CHLOROPYRIPHOSE(CLASSIC 20) @ 2 ML / LITRE OF WATER.
"	plant_protection	",Paddy,LEAF CUTTER ,,SPRAY LANCERGOLD @ 3 GM PER LITER OF WATER
"	plant_protection	",Chillies,LEAF CURL,,ADVISED HIM TO APPLY BAVISTIN @ 1 GM / LITRE OF WATER.
"	plant_protection	",Paddy,BLAST,,SPRAY CHLORPYRIPHOS @ 2 ML PER LITER OF WATER
"	plant_protection	",Paddy,CASE WORM ,,SPRAY ROGOR @ 2 ML PER LITER OF WATER
"	plant_protection	",Ridge Gourd,LITTEL LEAF ,,SPRAY ROGOR @ 2 ML PER LITER OF WATER
"	plant_protection	",Marigold,APHIDS ,,SPRAY DURSBAN @ 2 ML PER LITER OF WATER
"	plant_protection	",Paddy,STEM BORER ,,APPLY MALATHION 5% DUST  MIXED WITH EQUAL QUANTITY OF SAND TO THE AXIL OF LEAF OF THE TREE
"	plant_protection	",Coconut,COCONUT,RHINOCEROS BEETLE  ,ADVICE TO SPRAY BAVISTIN @2 GM/L WATER
"	plant_protection	",Bhindi,POWDERY MILDEW,,SPRAY TRICEL 20 @ 3 ML PER LITER OF WATER
"	plant_protection	",Paddy,HISPA ,,SPRAY EKALUX @ 2 ML PER LITER OF WATER
"	plant_protection	",Paddy,CUT WORM,,SPRAY BLITOX 50 @ 2 GM PER LITER OF WATER
"	plant_protection	",Chillies,STEM ROT ,,ADVICE TO SPRAY CHLORPYRIPHOS 20 EC @ 2 ML/L WATER
"	plant_protection	",Paddy,HISPA,,ADVISED HIM TO APPLY JACKPOT @ 1.5 ML / LITRE OF WATER.
"	plant_protection	",Paddy,GANDHI BUG ,,SPRAY STREPTOMYCIN @ 1 GM PER 10 LITER OF WATER
"	plant_protection	",Bitter Gourd,BACTERIAL WILT,,APPLY UREA @ 4 KG PER BIGHA AS TOP DRESSING AFTER 30 DAS
"	plant_protection	",Paddy,TOP DRESSING,,ADVICE TO APPLY UREA=1.5 KG SSP=2.5 KG MOP=1.75 KG
"	plant_protection	",Coconut,FERTILZER DOSE,,ADVISED TO SPRAY ROGOR @ 2 ML/ LITRE WATER
"	plant_protection	",Bitter Gourd,LEAF CURL DIESEASE,,ADVISED TO SPRAY BAVISTIN @ 1 GRAM / LITRE WATER
"	plant_protection	",Brinjal,FUNGAL WILT,,SPARY TRICEL 20 EC @ 3 ML PER LITER OF WATER
"	plant_protection	",Paddy,APHIDS,,SPRAY CLASSIC 20 @ 2 ML PER LITER OF WATER
"	plant_protection	",Paddy,HISPA,,SPRAY CLASSIC 20 @ 2 ML PER LITER OF WATER
"	plant_protection	",Paddy,LEAF FOLDER ,,ADVISED TO SPRAY BAVISTIN OR CAPTAN @ 2 GRAM / LITRE WATER
"	plant_protection	",Bitter Gourd,FUNGAL WILT,,ADVISED TO SPRAY MALATHION 50 EC @ 2 ML/ LITRE WATER
"	plant_protection	",Banana,PSUEDOSTEM BORER ,,ADVISED HIM TO APPLY QUINOLPHOSE 35 EC @ 2 ML / LITRE OF WATER.
"	plant_protection	",Paddy,CASE WORM ,,SPRAY ATABRON @ 3 ML PER LITER OF WATER FOLLOWED BY SPRAY OF DISECT @ 2 ML PER LITER OF WATER
"	plant_protection	",Brinjal,SHOOT BORER ,,SPRAY TAFGOR @ 2 ML PER LITRE OF WATER
"	plant_protection	",Chillies,LEAF MINER,,ADVICE TO SPRAY BORDEAUX MIXTURE AT 15 DAUS INTERVAL
"	plant_protection	",Betel Vine,LEAF SPOT,,SPRAY MALATHION 50 EC @ 2 ML PER LITRE OF WATER
"	plant_protection	",Ash Gourd,FRUIT FLY ATTACK,,ADVISED TO SPRAY TRACEL-2 @ 2 GRAM / LITRE WATER
